ID,Epic,Component,Task,Priority,Status,Assignee,Estimate,Dependency,Labels,Acceptance Criteria,Definition of Done
INSIGHT-001,Product Insight,Page Layout,Create product insight page structure,P0,Todo,,3,MARKET-001,"frontend,product-insight,component","Insight page renders correctly","Page structure completed"
INSIGHT-002,Product Insight,Service,Create insight analysis service,P0,Todo,,5,ARC-003,"service,mock-api","Insight data loads through service layer","Service completed"
INSIGHT-003,Product Insight,Types,Create insight data models,P0,Todo,,3,ARC-004,"typescript,types","Insight entities are typed","Types completed"
INSIGHT-004,Product Insight,Overview,Create product analysis summary cards,P0,Todo,,5,ARC-008,"component,analytics","Product scores are displayed correctly","Summary completed"
INSIGHT-005,Product Insight,Signals,Create signal aggregation panel,P0,Todo,,5,INSIGHT-002,"signals,analytics","Radar trend content and market signals are displayed together","Signal panel completed"
INSIGHT-006,Product Insight,Charts,Implement insight charts with Recharts,P1,Todo,,5,ARC-003,"charts,recharts","Analytics charts are displayed correctly","Charts completed"
INSIGHT-007,Product Insight,Score,Create scoring breakdown component,P1,Todo,,3,INSIGHT-002,"score,ui","Scores are explained visually","Score component completed"
INSIGHT-008,Product Insight,Recommendation,Create recommendation panel,P1,Todo,,5,INSIGHT-002,"recommendation,ui","AI recommendations are displayed","Panel completed"
INSIGHT-009,Product Insight,Actions,Create save compare export and note actions,P1,Todo,,3,ARC-006,"interaction,state","Actions update insight state correctly","Actions completed"
INSIGHT-010,Product Insight,State,Create insight Zustand store,P1,Todo,,3,ARC-006,"state,zustand","Insight state is managed globally","Store completed"
INSIGHT-011,Product Insight,Loading,Implement analysis loading state,P1,Todo,,2,ARC-002,"loading,skeleton","Loading skeleton is displayed","Skeleton completed"
INSIGHT-012,Product Insight,Error,Implement analysis error state,P1,Todo,,2,ARC-009,"error-state","API errors are handled and visible to users","Error completed"
INSIGHT-013,Product Insight,Empty State,Implement missing data state,P1,Todo,,2,ARC-009,"empty-state","Missing data is handled clearly","Empty state completed"
INSIGHT-014,Product Insight,Responsive,Optimize responsive layout,P2,Todo,,3,INSIGHT-001,"responsive","All screen sizes are supported","Responsive verified"
INSIGHT-015,Product Insight,QA,Run insight smoke test,P1,Todo,,2,INSIGHT-014,"qa","Analysis flow is verified end to end","QA completed"
