ID,Epic,Component,Task,Priority,Status,Assignee,Estimate,Dependency,Labels,Acceptance Criteria,Definition of Done
AD-001,Ad Angles,Page Layout,Create ad angles page structure,P0,Todo,,3,SAVE-001,"frontend,ad-angles,component","Ad angles page renders correctly","Page structure completed"
AD-002,Ad Angles,Service,Create ad angle service,P0,Todo,,5,ARC-003,"service,mock-api","Angle data loads through service layer","Service completed"
AD-003,Ad Angles,Types,Create ad angle models,P0,Todo,,3,ARC-004,"typescript,types","Angle entities are typed","Types completed"
AD-004,Ad Angles,List,Create angle list component,P0,Todo,,5,ARC-008,"component,card","Angles are displayed correctly","List completed"
AD-005,Ad Angles,Generator,Create mock AI angle generator flow,P1,Todo,,5,AD-002,"ai,mock-api","Suggestions are generated from mock data","Generator completed"
AD-006,Ad Angles,Form,Create angle editing form,P1,Todo,,5,ARC-011,"forms,zod","User can edit angles with validation","Form completed"
AD-007,Ad Angles,Scoring,Create angle score component,P1,Todo,,3,AD-002,"score,analytics","Angles are ranked correctly","Score completed"
AD-008,Ad Angles,Comparison,Create angle comparison view,P1,Todo,,5,AD-007,"comparison,ui","Angles can be compared side by side","Comparison completed"
AD-009,Ad Angles,State,Create ad angle Zustand store,P1,Todo,,3,ARC-006,"state,zustand","Angle state is managed globally","Store completed"
AD-010,Ad Angles,Loading,Implement generation loading state,P1,Todo,,2,ARC-002,"loading,skeleton","Loading skeleton is displayed","Skeleton completed"
AD-011,Ad Angles,Error,Implement generation error state,P1,Todo,,2,ARC-009,"error-state","Errors are handled and visible to users","Error completed"
AD-012,Ad Angles,Empty State,Implement empty angle state,P1,Todo,,2,ARC-009,"empty-state","No angles are handled clearly","Empty state completed"
AD-013,Ad Angles,Responsive,Optimize responsive layout,P2,Todo,,3,AD-001,"responsive","All devices are supported","Responsive verified"
AD-014,Ad Angles,QA,Run ad angles smoke test,P1,Todo,,2,AD-013,"qa","Main flow is verified end to end","QA completed"
