ID,Epic,Component,Task,Priority,Status,Assignee,Estimate,Dependency,Labels,Acceptance Criteria,Definition of Done
REL-001,Release QA,Build,Validate Next.js 15 production build,P0,Todo,,3,REPORT-001,"nextjs,build,ci","Production build completes successfully","Build validation completed"
REL-002,Release QA,TypeScript,Run TypeScript check,P0,Todo,,2,REL-001,"typescript,ci","TypeScript check passes without errors","Type check completed"
REL-003,Release QA,Lint,Run ESLint check,P0,Todo,,2,REL-002,"eslint,ci","ESLint check passes without errors","Lint completed"
REL-004,Release QA,Audit,Run dependency audit,P1,Todo,,2,REL-001,"security,ci","Dependency audit reports are reviewed","Audit completed"
REL-005,Release QA,Testing,Run route smoke tests,P0,Todo,,3,REPORT-001,"qa,routes","Main routes load successfully","Route smoke test completed"
REL-006,Release QA,Testing,Verify component rendering,P1,Todo,,3,REL-005,"qa,component","Core components render correctly","Component verification completed"
REL-007,Release QA,Testing,Run responsive testing,P1,Todo,,3,REL-005,"responsive,qa","Layouts work across device sizes","Responsive test completed"
REL-008,Release QA,Testing,Run browser smoke test,P1,Todo,,3,REL-005,"browser,qa","Browser flows complete without blocking issues","Browser test completed"
REL-009,Release QA,Testing,Verify state flows,P1,Todo,,3,ARC-006,"state,qa","Global state updates correctly","State testing completed"
REL-010,Release QA,Performance,Run Lighthouse check,P1,Todo,,3,REPORT-001,"performance,lighthouse","Performance targets are reviewed","Lighthouse completed"
REL-011,Release QA,Performance,Review bundle size,P1,Todo,,2,REL-010,"performance,bundle","Bundle output is reviewed for regressions","Bundle review completed"
REL-012,Release QA,Performance,Verify image optimization,P2,Todo,,2,REL-001,"performance,images","Images are optimized for production","Image optimization completed"
REL-013,Release QA,Accessibility,Validate keyboard navigation,P0,Todo,,3,REPORT-001,"a11y,keyboard","Keyboard navigation works across major flows","Keyboard navigation completed"
REL-014,Release QA,Accessibility,Validate ARIA and focus management,P0,Todo,,3,REL-013,"a11y,aria","ARIA labels and focus order are correct","ARIA validation completed"
REL-015,Release QA,Accessibility,Check color contrast,P1,Todo,,2,REL-013,"a11y,contrast","Color contrast meets accessibility expectations","Contrast check completed"
REL-016,Release QA,SEO,Validate metadata sitemap robots and Open Graph,P1,Todo,,3,REPORT-001,"seo,metadata","SEO metadata and indexing files are valid","SEO validation completed"
REL-017,Release QA,Deployment,Validate production environment config,P0,Todo,,3,REL-002,"deployment,ci","Environment variables and production config are valid","Environment validation completed"
REL-018,Release QA,Deployment,Update README and release notes,P2,Todo,,2,REL-017,"docs,release","Documentation reflects the release process","README update completed"
